,Ref to signal ratio,Pulse type,Amplitude,Phase,Q,P,Bob's quadrature,Bob's quadrature value,alpha,T_eff,Rotated Q,Rotated P,Ultimate state,Alice bits,Linear difference
27,-,signal,0.3265431841527176,2.0196269159354143,-0.14169108590276708,0.2942007601830599,Q,-0.136607875711811,0.10416202050604144,0.7955467957382742,-0.1364460506487728,0.22106180828335997,-0.1364460506487728,011011101000,0.0001618250630381901
28,-,signal,0.3265431841527176,-2.6927620644492753,-0.29420076018305985,-0.1416910859027671,Q,-0.2360513648463035,0.10416202050604144,0.7955467957382742,-0.22106180828335992,-0.1364460506487728,-0.22106180828335992,011000111011,0.014989556562943596
29,-,signal,0.3265431841527176,2.0196269159354143,-0.14169108590276708,0.2942007601830599,Q,-0.1398834663531496,0.10416202050604144,0.7955467957382742,-0.1364460506487728,0.22106180828335997,-0.1364460506487728,011011101000,0.003437415704376806
30,2,ref,1.0,0.0,1.0,0.0,Q,0.7902344816280428,0.10295933756746667,0.7944415517565986,0.7902344816280428,0.081650739148466,-,-,-
31,4,ref,1.0,0.0,1.0,0.0,P,0.081650739148466,0.10295933756746667,0.7944415517565986,0.7902344816280428,0.081650739148466,-,-,-
32,-,signal,0.3265431841527176,-2.6927620644492753,-0.29420076018305985,-0.1416910859027671,Q,-0.2198812527617187,0.10295933756746667,0.7944415517565986,-0.22091840332312673,-0.13599089134667505,-0.22091840332312673,011000111011,-0.0010371505614080456
33,-,signal,0.3265431841527176,2.0196269159354143,-0.14169108590276708,0.2942007601830599,Q,-0.1386236237929133,0.10295933756746667,0.7944415517565986,-0.13599089134667505,0.22091840332312676,-0.13599089134667505,011011101001,0.0026327324462382395
34,-,signal,0.3265431841527176,-2.6927620644492753,-0.29420076018305985,-0.1416910859027671,Q,-0.2369750029648437,0.10295933756746667,0.7944415517565986,-0.22091840332312673,-0.13599089134667505,-0.22091840332312673,011000111011,0.016056599641716962
35,-,signal,0.3265431841527176,2.0196269159354143,-0.14169108590276708,0.2942007601830599,Q,-0.1399149624011811,0.10295933756746667,0.7944415517565986,-0.13599089134667505,0.22091840332312676,-0.13599089134667505,011011101001,0.00392407105450604
36,2,ref,1.0,0.0,1.0,0.0,Q,0.794337996877907,0.09789388473413217,0.79815940931239,0.794337996877907,0.0780101877314593,-,-,-
37,4,ref,1.0,0.0,1.0,0.0,P,0.0780101877314593,0.09789388473413217,0.79815940931239,0.794337996877907,0.0780101877314593,-,-,-
