,Bob's values,Alice's values,Bob's bits,Alice's bits,Hamming distance
0,0.7867389616848364,-,111001001010,-,-
1,0.090643139064098,-,100010111001,-,-
2,0.2186158757896825,0.20979512226379926,100110111111,100110101101,2
3,0.1381411782211764,0.02417128090567971,100100011010,100000110001,5
4,0.2357269870952381,0.20979512226379926,100111100010,100110101101,5
5,0.1410901978745098,0.02417128090567971,100100100000,100000110001,3
6,0.7910601875871469,-,111001010011,-,-
7,0.0894206102536702,-,100010110111,-,-
8,0.2209437527929688,0.2128230346012662,100111000100,100110110011,6
9,0.1390330726456693,0.02405729163052672,100100011100,100000110001,5
10,0.2376937529785156,0.2128230346012662,100111100110,100110110011,4
11,0.1422771671685039,0.02405729163052672,100100100011,100000110001,3
12,0.7885287927609755,-,111001001110,-,-
13,0.0864667993971807,-,100010110000,-,-
14,0.2201312527890625,0.21048887569098168,100111000010,100110101110,4
15,0.1362614190299212,0.023081337747963747,100100010110,100000101111,5
16,0.2362250029746094,0.21048887569098168,100111100011,100110101110,4
17,0.1407653561374015,0.023081337747963747,100100100000,100000101111,5
18,0.7880448903219511,-,111001001101,-,-
19,0.0859191381620706,-,100010101111,-,-
20,0.218443752765625,0.21065163485911914,100110111111,100110101111,1
21,0.1387496080547244,0.022966974523662517,100100011100,100000101111,5
22,0.2371937529804687,0.21065163485911914,100111100101,100110101111,3
23,0.1407968522047243,0.022966974523662517,100100100000,100000101111,5
24,0.7912349637883495,-,111001010011,-,-
25,0.0827159977772423,-,100010101001,-,-
26,0.2213276292723735,0.21144864208458963,100111000101,100110110000,5
27,0.136607875711811,0.022104919788843283,100100010111,100000101101,5
28,0.2360513648463035,0.21144864208458963,100111100011,100110110000,4
29,0.1398834663531496,0.022104919788843283,100100011110,100000101101,5
30,0.7902344816280428,-,111001010001,-,-
31,0.081650739148466,-,100010100111,-,-
32,0.2198812527617187,0.21143838379718435,100111000010,100110110000,4
33,0.1386236237929133,0.021846807147455235,100100011011,100000101100,6
34,0.2369750029648437,0.21143838379718435,100111100101,100110110000,4
35,0.1399149624011811,0.021846807147455235,100100011110,100000101100,4
36,0.794337996877907,-,111001011010,-,-
37,0.0780101877314593,-,100010011111,-,-
38,0.2213364369089147,0.21297023129856113,100111000101,100110110011,5
39,0.1374823546564705,0.020915338042637597,100100011001,100000101010,5
40,0.2377085301007752,0.21297023129856113,100111100110,100110110011,4
41,0.1395843154945097,0.020915338042637597,100100011101,100000101010,6
42,0.7968539406517944,-,111001011111,-,-
43,0.0758509820045392,-,100010011011,-,-
44,0.2188684852470817,0.21196823744120027,100111000000,100110110001,4
45,0.136196080125098,0.020176845646938998,100100010110,100000101001,7
46,0.2360824932412451,0.21196823744120027,100111100011,100110110001,3
47,0.1395215703952941,0.020176845646938998,100100011101,100000101001,4
48,0.7918241368443579,-,111001010100,-,-
49,0.0745197268091364,-,100010011000,-,-
50,0.221016345196498,0.21172643571430227,100111000100,100110110001,5
51,0.137899214327559,0.019925884313884284,100100011010,100000101000,4
52,0.2359579796284047,0.21172643571430227,100111100011,100110110001,3
53,0.1398204742251968,0.019925884313884284,100100011110,100000101000,5
54,0.7972419135033947,-,111001011111,-,-
55,0.0718656204101473,-,100010010011,-,-
56,0.2207673179669261,0.21256208236623103,100111000011,100110110011,3
57,0.1356944899043307,0.019160941824788977,100100010101,100000100111,4
58,0.2360824932373541,0.21256208236623103,100111100011,100110110011,2
59,0.1392850411322834,0.019160941824788977,100100011101,100000100111,5
60,0.7952372217122092,-,111001011011,-,-
61,0.0694009828699411,-,100010001110,-,-
62,0.2188868244554263,0.2119693091922846,100111000000,100110110001,4
63,0.1363874032940944,0.01849872968035031,100100010111,100000100101,4
64,0.2375844991085271,0.2119693091922846,100111100110,100110110001,5
